Label,# PSMs,# Peptides,# Unique Peptides,Accession,Coverage [%],Description,Gene
S100A16,10,4,4,Q96FQ6,45,Protein S100-A16 OS=Homo sapiens OX=9606 GN=S100A16 PE=1 SV=1,S100A16
S100A6,13,2,2,P06703,17,Protein S100-A6 OS=Homo sapiens OX=9606 GN=S100A6 PE=1 SV=1,S100A6
S100A8,11,4,4,P05109,40,Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1,S100A8
S100A9,12,6,6,P06702,61,Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1,S100A9
SCRIB,2,2,2,Q14160,2,Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=4,SCRIB
SDAD1,3,2,2,Q9NVU7,3,Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3,SDAD1
SEC13,6,2,2,P55735,11,Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=3,SEC13
SET,23,5,5,Q01105,23,Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3,SET
SON,5,3,3,P18583,3,Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4,SON
SEC23A,18,6,6,Q15436,8,Protein transport protein Sec23A OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=2,SEC23A
SEC24A,3,2,2,O95486,3,Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2,SEC24A
SEC24C,8,5,5,P53992,6,Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=3,SEC24C
SEC24D,5,3,3,O94855,3,Protein transport protein Sec24D OS=Homo sapiens OX=9606 GN=SEC24D PE=1 SV=2,SEC24D
SEC31A,34,17,17,O94979,15,Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=3,SEC31A
SEC61A1,34,6,6,P61619,14,Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens OX=9606 GN=SEC61A1 PE=1 SV=2,SEC61A1
SEC61B,30,3,3,P60468,38,Protein transport protein Sec61 subunit beta OS=Homo sapiens OX=9606 GN=SEC61B PE=1 SV=2,SEC61B
TGM2,26,12,12,P21980,24,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2,TGM2
TGM3,88,16,16,Q08188,30,Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4,TGM3
TGM1,50,11,11,P22735,15,Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4,TGM1
FAT1,3,2,2,Q14517,0,Protocadherin Fat 1 OS=Homo sapiens OX=9606 GN=FAT1 PE=1 SV=2,FAT1
PUM3,8,5,5,Q15397,10,Pumilio homolog 3 OS=Homo sapiens OX=9606 GN=PUM3 PE=1 SV=3,PUM3
GLYR1,31,6,6,Q49A26,19,Putative oxidoreductase GLYR1 OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=4,GLYR1
LUC7L2,25,9,8,Q9Y383,25,Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2,LUC7L2
PKM,143,25,25,P14618,57,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,PKM
GDI2,4,4,4,P50395,14,Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2,GDI2
RANGAP1,9,4,4,P46060,9,Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,RANGAP1
G3BP1,21,9,8,Q13283,27,Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1,G3BP1
G3BP2,31,5,4,Q9UN86,12,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2,G3BP2
IQGAP1,75,34,34,P46940,28,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,IQGAP1
RAC3,6,3,2,P60763,15,Ras-related C3 botulinum toxin substrate 3 OS=Homo sapiens OX=9606 GN=RAC3 PE=1 SV=1,RAC3
RAB1A,20,6,4,P62820,30,Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3,RAB1A
RAB5C,18,4,3,P51148,25,Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C PE=1 SV=2,RAB5C
RAB7A,6,2,2,P51149,14,Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1,RAB7A
RAP1B,9,2,2,P61224,12,Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1,RAP1B
RACK1,184,16,16,P63244,67,Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3,RACK1
RCC1,53,8,8,P18754,33,Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1,RCC1
UPF1,21,10,10,Q92900,11,Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2,UPF1
RSF1,6,2,2,Q96T23,2,Remodeling and spacing factor 1 OS=Homo sapiens OX=9606 GN=RSF1 PE=1 SV=2,RSF1
RCN1,4,3,3,Q15293,11,Reticulocalbin-1 OS=Homo sapiens OX=9606 GN=RCN1 PE=1 SV=1,RCN1
RNH1,56,14,14,P13489,44,Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2,RNH1
POP1,15,6,6,Q99575,7,Ribonucleases P/MRP protein subunit POP1 OS=Homo sapiens OX=9606 GN=POP1 PE=1 SV=2,POP1
RSL1D1,160,15,15,O76021,33,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=3,RSL1D1
RRP1,30,4,4,P56182,10,Ribosomal RNA processing protein 1 homolog A OS=Homo sapiens OX=9606 GN=RRP1 PE=1 SV=1,RRP1
RRP1B,5,2,2,Q14684,3,Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3,RRP1B
BMS1,6,5,5,Q14692,5,Ribosome biogenesis protein BMS1 homolog OS=Homo sapiens OX=9606 GN=BMS1 PE=1 SV=1,BMS1
BOP1,21,7,7,Q14137,14,Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,BOP1
BRIX1,66,11,11,Q8TDN6,36,Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2,BRIX1
NOP53,4,3,3,Q9NZM5,5,Ribosome biogenesis protein NOP53 OS=Homo sapiens OX=9606 GN=NOP53 PE=1 SV=2,NOP53
NSA2,11,3,3,O95478,13,Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens OX=9606 GN=NSA2 PE=1 SV=1,NSA2
RRS1,82,10,10,Q15050,30,Ribosome biogenesis regulatory protein homolog OS=Homo sapiens OX=9606 GN=RRS1 PE=1 SV=2,RRS1
SBDS,3,2,2,Q9Y3A5,10,Ribosome maturation protein SBDS OS=Homo sapiens OX=9606 GN=SBDS PE=1 SV=4,SBDS
RPF2,38,7,7,Q9H7B2,27,Ribosome production factor 2 homolog OS=Homo sapiens OX=9606 GN=RPF2 PE=1 SV=2,RPF2
RRBP1,395,54,54,Q9P2E9,44,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,RRBP1
RCL1,3,2,2,Q9Y2P8,4,RNA 3'-terminal phosphate cyclase-like protein OS=Homo sapiens OX=9606 GN=RCL1 PE=1 SV=3,RCL1
RBFOX2,5,2,2,O43251,9,RNA binding protein fox-1 homolog 2 OS=Homo sapiens OX=9606 GN=RBFOX2 PE=1 SV=3,RBFOX2
NAT10,19,8,8,Q9H0A0,11,RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2,NAT10
NSUN2,12,5,5,Q08J23,8,RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2,NSUN2
PAF1,2,2,2,Q8N7H5,4,RNA polymerase II-associated factor 1 homolog OS=Homo sapiens OX=9606 GN=PAF1 PE=1 SV=2,PAF1
RTRAF,28,9,9,Q9Y224,47,"RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1",RTRAF
RBMX,202,18,18,P38159,43,"RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3",RBMX
RBMS2,5,3,3,Q15434,7,"RNA-binding motif, single-stranded-interacting protein 2 OS=Homo sapiens OX=9606 GN=RBMS2 PE=1 SV=1",RBMS2
RBM14,44,14,14,Q96PK6,25,RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,RBM14
RBM15,5,3,3,Q96T37,4,RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=2,RBM15
RBM25,14,8,8,P49756,11,RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3,RBM25
RBM26,3,2,2,Q5T8P6,2,RNA-binding protein 26 OS=Homo sapiens OX=9606 GN=RBM26 PE=1 SV=3,RBM26
RBM28,18,5,5,Q9NW13,8,RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3,RBM28
RBM3,10,3,3,P98179,22,RNA-binding protein 3 OS=Homo sapiens OX=9606 GN=RBM3 PE=1 SV=1,RBM3
RBM34,18,5,5,P42696,15,RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2,RBM34
RBM39,24,11,11,Q14498,28,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,RBM39
RBM4,11,5,5,Q9BWF3,15,RNA-binding protein 4 OS=Homo sapiens OX=9606 GN=RBM4 PE=1 SV=1,RBM4
RBM42,2,2,2,Q9BTD8,5,RNA-binding protein 42 OS=Homo sapiens OX=9606 GN=RBM42 PE=1 SV=1,RBM42
RBM8A,9,3,3,Q9Y5S9,22,RNA-binding protein 8A OS=Homo sapiens OX=9606 GN=RBM8A PE=1 SV=1,RBM8A
EWSR1,51,7,7,Q01844,15,RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=EWSR1 PE=1 SV=1,EWSR1
FUS,137,9,7,P35637,22,RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,FUS
RALY,56,10,10,Q9UKM9,34,RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1,RALY
RBPMS,2,2,2,Q93062,13,RNA-binding protein with multiple splicing OS=Homo sapiens OX=9606 GN=RBPMS PE=1 SV=1,RBPMS
RNPS1,11,4,4,Q15287,14,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=1,RNPS1
RTCB,29,10,10,Q9Y3I0,27,RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1,RTCB
FBL,118,14,14,P22087,60,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2,FBL
RRP12,21,10,10,Q5JTH9,10,RRP12-like protein OS=Homo sapiens OX=9606 GN=RRP12 PE=1 SV=2,RRP12
RUVBL1,31,8,8,Q9Y265,21,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,RUVBL1
RUVBL2,15,6,6,Q9Y230,16,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,RUVBL2
SARNP,21,5,5,P82979,28,SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=3,SARNP
ATP2A2,17,8,8,P16615,11,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,ATP2A2
SAFB,16,9,5,Q15424,12,Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4,SAFB
SLFN5,13,3,3,Q08AF3,4,Schlafen family member 5 OS=Homo sapiens OX=9606 GN=SLFN5 PE=1 SV=1,SLFN5
SEPTIN11,29,11,10,Q9NVA2,32,Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=3,SEPTIN11
SEPTIN2,25,11,11,Q15019,45,Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,SEPTIN2
SEPTIN7,32,10,9,Q16181,29,Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2,SEPTIN7
SEPTIN9,50,16,16,Q9UHD8,33,Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,SEPTIN9
SRRM1,16,6,6,Q8IYB3,10,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2,SRRM1
SRRM2,20,11,11,Q9UQ35,6,Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2,SRRM2
SRSF1,84,12,12,Q07955,44,Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,SRSF1
SRSF10,16,5,5,O75494,21,Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1,SRSF10
SRSF11,4,2,2,Q05519,6,Serine/arginine-rich splicing factor 11 OS=Homo sapiens OX=9606 GN=SRSF11 PE=1 SV=1,SRSF11
SRSF2,50,6,6,Q01130,26,Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4,SRSF2
SRSF3,41,6,5,P84103,35,Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,SRSF3
SRSF4,38,11,5,Q08170,23,Serine/arginine-rich splicing factor 4 OS=Homo sapiens OX=9606 GN=SRSF4 PE=1 SV=2,SRSF4
SRSF5,14,3,2,Q13243,12,Serine/arginine-rich splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1,SRSF5
SRSF7,42,7,6,Q16629,29,Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1,SRSF7
SRSF9,11,4,4,Q13242,19,Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1,SRSF9
CDC42BPB,3,2,2,Q9Y5S2,1,Serine/threonine-protein kinase MRCK beta OS=Homo sapiens OX=9606 GN=CDC42BPB PE=1 SV=2,CDC42BPB
PRPF4B,8,5,5,Q13523,5,Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens OX=9606 GN=PRPF4B PE=1 SV=3,PRPF4B
VRK1,17,4,4,Q99986,10,Serine/threonine-protein kinase VRK1 OS=Homo sapiens OX=9606 GN=VRK1 PE=1 SV=1,VRK1
PPP2R1A,11,7,7,P30153,16,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4,PPP2R1A
PPP1CA,54,12,3,P62136,42,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1,PPP1CA
STRAP,5,3,3,Q9Y3F4,13,Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1,STRAP
TF,5,3,3,P02787,6,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3,TF
SERPINB12,8,4,4,Q96P63,13,Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1,SERPINB12
SERPINB3,10,6,6,P29508,19,Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2,SERPINB3
SERPINH1,114,16,16,P50454,52,Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2,SERPINH1
SRRT,32,14,14,Q9BXP5,16,Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1,SRRT
SH3BGRL3,14,2,2,Q9H299,31,SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens OX=9606 GN=SH3BGRL3 PE=1 SV=1,SH3BGRL3
SH3BP4,5,3,3,Q9P0V3,5,SH3 domain-binding protein 4 OS=Homo sapiens OX=9606 GN=SH3BP4 PE=1 SV=1,SH3BP4
SRP14,19,3,3,P37108,27,Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2,SRP14
SRP9,4,2,2,P49458,20,Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2,SRP9
SRPRA,9,2,2,P08240,3,Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2,SRPRA
STAT1,2,2,2,P42224,3,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2,STAT1
PDS5A,2,2,2,Q29RF7,2,Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,PDS5A
PDS5B,3,2,2,Q9NTI5,2,Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens OX=9606 GN=PDS5B PE=1 SV=1,PDS5B
SNRPF,10,3,3,P62306,24,Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1,SNRPF
SNRPG,18,2,2,P62308,25,Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1,SNRPG
SNRPD1,72,4,4,P62314,37,Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1,SNRPD1
SNRPD2,64,8,8,P62316,62,Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1,SNRPD2
SNRPD3,67,4,4,P62318,48,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,SNRPD3
SNRPB,70,6,6,P14678,24,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2,SNRPB
SPRR3,4,4,4,Q9UBC9,38,Small proline-rich protein 3 OS=Homo sapiens OX=9606 GN=SPRR3 PE=1 SV=2,SPRR3
SUMO2,17,2,2,P61956,23,Small ubiquitin-related modifier 2 OS=Homo sapiens OX=9606 GN=SUMO2 PE=1 SV=3,SUMO2
SMTN,4,2,2,P53814,3,Smoothelin OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=7,SMTN
SNW1,5,3,3,Q13573,8,SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1,SNW1
ATP1A1,3,2,2,P05023,3,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,ATP1A1
UTP3,5,3,3,Q9NQZ2,9,Something about silencing protein 10 OS=Homo sapiens OX=9606 GN=UTP3 PE=1 SV=1,UTP3
SPATS2L,42,10,10,Q9NUQ6,21,SPATS2-like protein OS=Homo sapiens OX=9606 GN=SPATS2L PE=1 SV=2,SPATS2L
SPTAN1,137,67,67,Q13813,34,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",SPTAN1
SPTBN1,135,62,62,Q01082,34,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",SPTBN1
SMPD4,2,2,2,Q9NXE4,2,Sphingomyelin phosphodiesterase 4 OS=Homo sapiens OX=9606 GN=SMPD4 PE=1 SV=3,SMPD4
SPIN1,10,4,4,Q9Y657,20,Spindlin-1 OS=Homo sapiens OX=9606 GN=SPIN1 PE=1 SV=3,SPIN1
DDX39B,148,17,17,Q13838,50,Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1,DDX39B
SF1,16,5,5,Q15637,11,Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4,SF1
SF3A1,18,9,9,Q15459,11,Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1,SF3A1
SF3A2,7,2,2,Q15428,5,Splicing factor 3A subunit 2 OS=Homo sapiens OX=9606 GN=SF3A2 PE=1 SV=2,SF3A2
SF3A3,11,6,6,Q12874,13,Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1,SF3A3
SF3B1,45,20,20,O75533,20,Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,SF3B1
SF3B2,38,11,11,Q13435,11,Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2,SF3B2
SF3B3,35,13,13,Q15393,14,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,SF3B3
SF3B6,9,3,3,Q9Y3B4,26,Splicing factor 3B subunit 6 OS=Homo sapiens OX=9606 GN=SF3B6 PE=1 SV=1,SF3B6
U2AF1,8,3,3,Q01081,17,Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3,U2AF1
U2AF2,30,9,9,P26368,35,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4,U2AF2
SFPQ,226,21,20,P23246,32,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",SFPQ
CTTN,8,5,5,Q14247,9,Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2,CTTN
SND1,316,36,36,Q7KZF4,49,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,SND1
STOM,4,2,2,P27105,8,Stomatin OS=Homo sapiens OX=9606 GN=STOM PE=1 SV=3,STOM
HSPA9,8,3,2,P38646,4,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",HSPA9
STRN3,3,2,2,Q13033,3,Striatin-3 OS=Homo sapiens OX=9606 GN=STRN3 PE=1 SV=3,STRN3
SMCHD1,88,22,22,A6NHR9,11,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2,SMCHD1
SMC1A,11,6,6,Q14683,6,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,SMC1A
SMC3,17,8,8,Q9UQE7,9,Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2,SMC3
SUN1,12,4,4,O94901,7,SUN domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SUN1 PE=1 SV=4,SUN1
SUN2,24,7,7,Q9UH99,15,SUN domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUN2 PE=1 SV=3,SUN2
SVIL,3,2,2,O95425,1,Supervillin OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=2,SVIL
PPAN,3,2,2,Q9NQ55,5,Suppressor of SWI4 1 homolog OS=Homo sapiens OX=9606 GN=PPAN PE=2 SV=1,PPAN
SBSN,10,3,3,Q6UWP8,18,Suprabasin OS=Homo sapiens OX=9606 GN=SBSN PE=1 SV=2,SBSN
SURF4,3,2,2,O15260,12,Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3,SURF4
SURF6,16,5,5,O75683,16,Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3,SURF6
SMARCC2,12,6,6,Q8TAQ2,6,SWI/SNF complex subunit SMARCC2 OS=Homo sapiens OX=9606 GN=SMARCC2 PE=1 SV=1,SMARCC2
SMARCA5,64,19,11,O60264,17,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,SMARCA5
TLN1,267,89,80,Q9Y490,50,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,TLN1
TARDBP,37,9,9,Q13148,33,TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1,TARDBP
TAF15,59,4,2,Q92804,11,TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,TAF15
CCT2,3,2,2,P78371,8,T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4,CCT2
CCT4,4,2,2,P50991,4,T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,CCT4
CCT5,8,4,4,P48643,9,T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1,CCT5
CCT3,8,6,6,P49368,16,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,CCT3
CCT8,8,4,4,P50990,9,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,CCT8
CCT6A,6,4,4,P40227,10,T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,CCT6A
TNC,88,36,36,P24821,22,Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3,TNC
TNS1,2,2,2,Q9HBL0,1,Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=2,TNS1
TNS3,4,3,3,Q68CZ2,3,Tensin-3 OS=Homo sapiens OX=9606 GN=TNS3 PE=1 SV=2,TNS3
TES,3,2,2,Q9UGI8,6,Testin OS=Homo sapiens OX=9606 GN=TES PE=1 SV=1,TES
TXNDC5,18,9,9,Q8NBS9,29,Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2,TXNDC5
TXN,17,2,2,P10599,21,Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,TXN
TXNRD1,8,4,4,Q16881,8,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3",TXNRD1
TXNL1,7,4,4,O43396,18,Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3,TXNL1
ALYREF,75,6,6,Q86V81,29,THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3,ALYREF
THSD4,8,5,5,Q6ZMP0,5,Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=THSD4 PE=2 SV=2,THSD4
THBS1,65,25,25,P07996,29,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,THBS1
THYN1,13,2,2,Q9P016,7,Thymocyte nuclear protein 1 OS=Homo sapiens OX=9606 GN=THYN1 PE=1 SV=1,THYN1
