Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,calc. pI
DDX54,882,1528,41,41,2,Q8TDD1-2,59,Isoform 2 of ATP-dependent RNA helicase DDX54 OS=Homo sapiens GN=DDX54,DDX54,98.6,40623,10.02
AHCTF1,2266,1477,54,54,54,Q8WYP5,35,Protein ELYS OS=Homo sapiens GN=AHCTF1 PE=1 SV=3,AHCTF1,252.3,40539,6.6
SCAF11,1463,1325,36,36,35,Q99590,37,Protein SCAF11 OS=Homo sapiens GN=SCAF11 PE=1 SV=2,SCAF11,164.6,40434,8.41
UACA,1416,1577,62,62,62,Q9BZF9,52,Uveal autoantigen with coiled-coil domains and ankyrin repeats OS=Homo sapiens GN=UACA PE=1 SV=2,UACA,162.4,40395,7.03
RNPS1,305,987,7,7,7,Q15287,35,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens GN=RNPS1 PE=1 SV=1,RNPS1,34.2,40169,11.84
RPLP0,317,1308,18,18,18,P05388,66,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,RPLP0,34.3,40163,5.97
RAI1,1906,1417,49,49,48,Q7Z5J4,43,Retinoic acid-induced protein 1 OS=Homo sapiens GN=RAI1 PE=1 SV=2,RAI1,203.2,39722,8.79
LYAR,379,1187,16,16,16,Q9NX58,49,Cell growth-regulating nucleolar protein OS=Homo sapiens GN=LYAR PE=1 SV=2,LYAR,43.6,39470,9.54
MDN1,5596,1612,109,109,108,Q9NU22,28,Midasin OS=Homo sapiens GN=MDN1 PE=1 SV=2,MDN1,632.4,39175,5.68
RCC1,421,937,19,19,19,P18754,69,Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 PE=1 SV=1,RCC1,44.9,38790,7.52
NOL8,1167,1372,51,51,51,Q76FK4,50,Nucleolar protein 8 OS=Homo sapiens GN=NOL8 PE=1 SV=1,NOL8,131.5,38440,7.09
XRCC1,633,1553,27,27,27,P18887,57,DNA repair protein XRCC1 OS=Homo sapiens GN=XRCC1 PE=1 SV=2,XRCC1,69.4,38424,6.39
GNB2,340,958,13,13,6,P62879,65,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=3,GNB2,37.3,38283,6.0
HSPD1,573,1036,26,26,26,P10809,60,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",HSPD1,61.0,38117,5.87
HRNR,2850,1118,25,25,25,Q86YZ3,25,SWISS-PROT:Q86YZ3 Tax_Id=9606 Gene_Symbol=HRNR Hornerin,HRNR,282.2,37544,10.04
HNRNPL,589,1271,21,21,21,P14866,58,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2,HNRNPL,64.1,37525,8.22
ABLIM1,455,1247,25,25,25,O14639-5,68,Isoform 5 of Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1,ABLIM1,52.0,37477,9.19
U2AF2,475,1115,14,14,14,P26368,52,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4,U2AF2,53.5,37107,9.09
GNB1,340,970,13,13,6,P62873,65,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens GN=GNB1 PE=1 SV=3,GNB1,37.4,36965,6.0
KRT7,469,1266,29,29,19,P08729,56,"SWISS-PROT:P08729 Tax_Id=9606 Gene_Symbol=KRT7 Keratin, type II cytoskeletal 7",KRT7,51.4,36894,5.58
RSL1D1,490,1193,18,18,18,O76021,38,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens GN=RSL1D1 PE=1 SV=3,RSL1D1,54.9,36864,10.13
CD55,381,1469,20,20,20,P08174,61,Complement decay-accelerating factor OS=Homo sapiens GN=CD55 PE=1 SV=4,CD55,41.4,36855,7.59
HNRNPA3,378,900,12,12,11,P51991,33,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2,HNRNPA3,39.6,36846,9.01
BRIX1,353,1347,24,24,24,Q8TDN6,68,Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens GN=BRIX1 PE=1 SV=2,BRIX1,41.4,36625,9.92
WDR3,943,1148,43,43,43,Q9UNX4,68,WD repeat-containing protein 3 OS=Homo sapiens GN=WDR3 PE=1 SV=1,WDR3,106.0,36097,6.64
DDX3X,662,1080,28,28,27,O00571,49,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,DDX3X,73.2,36035,7.18
HSPB1,205,1136,14,14,14,P04792,82,Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2,HSPB1,22.8,35989,6.4
RPLP2,115,908,7,7,6,P05387,91,60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1,RPLP2,11.7,35829,4.54
TRIP12,2040,1113,49,49,2,Q14669-3,32,Isoform 3 of E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens GN=TRIP12,TRIP12,225.4,35718,8.69
PELP1,1130,1076,26,26,26,Q8IZL8,40,"Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens GN=PELP1 PE=1 SV=2",PELP1,119.6,35672,4.34
GNAI1,354,1005,15,15,8,P63096,55,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens GN=GNAI1 PE=1 SV=2,GNAI1,40.3,35516,5.97
TPRN,711,1049,25,25,25,Q4KMQ1,54,Taperin OS=Homo sapiens GN=TPRN PE=1 SV=2,TPRN,75.5,35398,7.25
RRP12,1297,1318,38,38,38,Q5JTH9,40,RRP12-like protein OS=Homo sapiens GN=RRP12 PE=1 SV=2,RRP12,143.6,34617,8.75
PABPC1,636,1145,22,22,15,P11940,44,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,PABPC1,70.6,34324,9.5
RPL7A,266,974,16,16,16,P62424,53,60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2,RPL7A,30.0,34300,10.61
HNRNPH2,449,1116,15,15,7,P55795,46,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1,HNRNPH2,49.2,33963,6.3
HNRNPC,293,1045,16,16,16,P07910-2,54,Isoform C1 of Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC,HNRNPC,32.3,33801,5.08
ARHGEF2,986,1190,40,40,40,Q92974,51,Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 PE=1 SV=4,ARHGEF2,111.5,33743,7.27
NUP214,2090,1156,42,42,42,P35658,32,Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214 PE=1 SV=2,NUP214,213.5,33695,7.47
HIST1H1E,219,1189,14,14,2,P10412,37,Histone H1.4 OS=Homo sapiens GN=HIST1H1E PE=1 SV=2,HIST1H1E,21.9,33595,11.03
ILF2,390,972,19,19,19,Q12905,74,Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2,ILF2,43.0,33505,5.26
RPL5,297,1293,16,16,16,P46777,48,60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3,RPL5,34.3,33411,9.72
RBM28,759,1142,29,29,29,Q9NW13,41,RNA-binding protein 28 OS=Homo sapiens GN=RBM28 PE=1 SV=3,RBM28,85.7,33218,9.22
EIF4A3,411,1267,25,25,23,P38919,66,Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4,EIF4A3,46.8,33156,6.73
URB2,1524,1129,44,44,44,Q14146,36,Unhealthy ribosome biogenesis protein 2 homolog OS=Homo sapiens GN=URB2 PE=2 SV=2,URB2,170.4,33156,7.31
ATP5A1,553,855,25,25,25,P25705,49,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1",ATP5A1,59.7,33066,9.13
RPS3,243,1260,19,19,19,P23396,78,40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2,RPS3,26.7,32941,9.66
FXR1,621,925,26,26,24,P51114,49,Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=1 SV=3,FXR1,69.7,32430,6.15
SF3B3,1217,973,37,37,37,Q15393,40,Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4,SF3B3,135.5,32359,5.26
TUFM,452,1141,24,24,24,P49411,62,"Elongation factor Tu, mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2",TUFM,49.5,32246,7.61
FBL,321,1124,21,21,21,P22087,68,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2,FBL,33.8,32106,10.18
USP36,1121,1267,44,44,44,Q9P275,48,Ubiquitin carboxyl-terminal hydrolase 36 OS=Homo sapiens GN=USP36 PE=1 SV=3,USP36,122.6,31966,9.67
BCOR,1755,1130,43,43,42,Q6W2J9,33,BCL-6 corepressor OS=Homo sapiens GN=BCOR PE=1 SV=1,BCOR,192.1,31799,6.48
LZTS2,669,944,29,29,28,Q9BRK4,53,Leucine zipper putative tumor suppressor 2 OS=Homo sapiens GN=LZTS2 PE=1 SV=2,LZTS2,72.7,31731,6.51
RPL3,403,1244,19,19,19,P39023,51,60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2,RPL3,46.1,31652,10.18
WDR76,626,1040,24,24,24,Q9H967,55,WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=2,WDR76,69.7,31516,9.25
KRT18,430,1242,26,26,17,P05783,67,"Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2",KRT18,48.0,31514,5.45
PARP2,583,1006,28,28,28,Q9UGN5,61,Poly [ADP-ribose] polymerase 2 OS=Homo sapiens GN=PARP2 PE=1 SV=2,PARP2,66.2,31375,8.88
HP1BP3,553,1172,21,21,21,Q5SSJ5,47,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens GN=HP1BP3 PE=1 SV=1,HP1BP3,61.2,31337,9.67
RBM14 (1),669,1111,24,24,20,Q96PK6,48,RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2,RBM14,69.4,31109,9.67
RPL12,165,700,9,9,9,P30050,67,60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,RPL12,17.8,30854,9.42
HIST1H1C,213,1135,14,14,2,P16403,38,Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2,HIST1H1C,21.4,30245,10.93
POLB,335,981,22,22,21,P06746,67,DNA polymerase beta OS=Homo sapiens GN=POLB PE=1 SV=3,POLB,38.2,30209,8.95
FTSJ3,847,778,28,28,28,Q8IY81,46,pre-rRNA processing protein FTSJ3 OS=Homo sapiens GN=FTSJ3 PE=1 SV=2,FTSJ3,96.5,30153,8.4
RPS3A,264,979,16,16,16,P61247,56,40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2,RPS3A,29.9,29951,9.73
TJP2,1190,1303,49,49,48,Q9UDY2,48,Tight junction protein ZO-2 OS=Homo sapiens GN=TJP2 PE=1 SV=2,TJP2,133.9,29908,7.4
SIPA1L3,1781,941,49,49,46,O60292,40,Signal-induced proliferation-associated 1-like protein 3 OS=Homo sapiens GN=SIPA1L3 PE=1 SV=3,SIPA1L3,194.5,29833,8.32
TUBB6,446,1137,15,15,5,Q9BUF5,54,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1,TUBB6,49.8,29828,4.88
SAP18,153,1083,12,12,12,O00422,74,Histone deacetylase complex subunit SAP18 OS=Homo sapiens GN=SAP18 PE=1 SV=1,SAP18,17.6,29618,9.35
CDK11B,795,1136,35,35,35,P21127,47,Cyclin-dependent kinase 11B OS=Homo sapiens GN=CDK11B PE=1 SV=3,CDK11B,92.7,29480,5.57
UBR5,2799,1049,64,64,64,O95071,30,E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens GN=UBR5 PE=1 SV=2,UBR5,309.2,29435,5.85
RPL6,288,797,12,12,12,Q02878,40,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3,RPL6,32.7,29265,10.58
TBL3,808,957,31,31,31,Q12788,56,Transducin beta-like protein 3 OS=Homo sapiens GN=TBL3 PE=1 SV=2,TBL3,89.0,29073,6.9
RANGAP1,587,787,23,23,23,P46060,50,Ran GTPase-activating protein 1 OS=Homo sapiens GN=RANGAP1 PE=1 SV=1,RANGAP1,63.5,28991,4.68
GIGYF2,1299,1085,34,34,33,Q6Y7W6,35,PERQ amino acid-rich with GYF domain-containing protein 2 OS=Homo sapiens GN=GIGYF2 PE=1 SV=1,GIGYF2,150.0,28871,5.54
RPL7,248,1085,15,15,15,P18124,56,60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1,RPL7,29.2,28846,10.65
FLNB,2602,1144,65,65,59,O75369,35,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,FLNB,278.0,28716,5.73
RACGAP1,632,935,29,29,29,Q9H0H5,61,Rac GTPase-activating protein 1 OS=Homo sapiens GN=RACGAP1 PE=1 SV=1,RACGAP1,71.0,28160,8.88
SF3B2,895,1044,36,36,36,Q13435,42,Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=2,SF3B2,100.2,27930,5.67
FLOT1,427,739,21,21,21,O75955,63,Flotillin-1 OS=Homo sapiens GN=FLOT1 PE=1 SV=3,FLOT1,47.3,27878,7.49
JUP,745,901,31,31,31,P14923,57,Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3,JUP,81.7,27874,6.14
RAD23B,409,876,13,13,11,P54727,50,UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1,RAD23B,43.1,27846,4.84
GNAS,1037,806,17,17,16,Q5JWF2,20,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens GN=GNAS PE=1 SV=2,GNAS,111.0,27789,5.03
DKC1,514,1141,21,21,21,O60832,53,H/ACA ribonucleoprotein complex subunit 4 OS=Homo sapiens GN=DKC1 PE=1 SV=3,DKC1,57.6,27748,9.42
MSH2,934,1026,34,34,34,P43246,51,DNA mismatch repair protein Msh2 OS=Homo sapiens GN=MSH2 PE=1 SV=1,MSH2,104.7,27715,5.77
EFHD2,240,878,15,15,14,Q96C19,67,EF-hand domain-containing protein D2 OS=Homo sapiens GN=EFHD2 PE=1 SV=1,EFHD2,26.7,27677,5.2
RBMX,391,1148,22,22,8,P38159,51,"RNA-binding motif protein, X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3",RBMX,42.3,27665,10.05
ATP2A2,1042,827,26,26,26,P16615,36,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1,ATP2A2,114.7,27592,5.34
RPS8,208,722,10,10,10,P62241,51,40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2,RPS8,24.2,27578,10.32
EFTUD2,972,1076,39,39,38,Q15029,58,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1,EFTUD2,109.4,27544,5.0
WDR36,951,863,26,26,26,Q8NI36,39,WD repeat-containing protein 36 OS=Homo sapiens GN=WDR36 PE=1 SV=1,WDR36,105.3,27149,7.53
SUZ12,739,794,26,26,25,Q15022,47,Polycomb protein SUZ12 OS=Homo sapiens GN=SUZ12 PE=1 SV=3,SUZ12,83.0,26982,8.81
SRSF9,221,1115,15,15,14,Q13242,62,Serine/arginine-rich splicing factor 9 OS=Homo sapiens GN=SRSF9 PE=1 SV=1,SRSF9,25.5,26865,8.65
RBM25,843,1103,28,28,28,P49756,39,RNA-binding protein 25 OS=Homo sapiens GN=RBM25 PE=1 SV=3,RBM25,100.1,26786,6.32
NOC3L,800,1108,30,30,30,Q8WTT2,43,Nucleolar complex protein 3 homolog OS=Homo sapiens GN=NOC3L PE=1 SV=1,NOC3L,92.5,26760,9.17
PHF14,888,862,29,29,7,O94880,48,PHD finger protein 14 OS=Homo sapiens GN=PHF14 PE=1 SV=2,PHF14,100.0,26726,5.33
KNOP1,458,772,21,21,21,Q1ED39,51,Lysine-rich nucleolar protein 1 OS=Homo sapiens GN=KNOP1 PE=1 SV=1,KNOP1,51.6,26690,9.86
WRN,1432,1022,47,47,47,Q14191,45,Werner syndrome ATP-dependent helicase OS=Homo sapiens GN=WRN PE=1 SV=2,WRN,162.4,26567,6.34
EBNA1BP2,306,870,11,11,11,Q99848,36,Probable rRNA-processing protein EBP2 OS=Homo sapiens GN=EBNA1BP2 PE=1 SV=2,EBNA1BP2,34.8,26382,10.1
FLOT2,428,801,19,19,19,Q14254,51,Flotillin-2 OS=Homo sapiens GN=FLOT2 PE=1 SV=2,FLOT2,47.0,26369,5.25
ALYREF,257,646,7,7,7,Q86V81,42,THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3,ALYREF,26.9,26350,11.15
DDX51,666,858,25,25,25,Q8N8A6,56,ATP-dependent RNA helicase DDX51 OS=Homo sapiens GN=DDX51 PE=1 SV=3,DDX51,72.4,26295,8.16
MCAM,646,668,20,20,20,P43121,38,Cell surface glycoprotein MUC18 OS=Homo sapiens GN=MCAM PE=1 SV=2,MCAM,71.6,26257,5.76
GRWD1,446,1194,20,20,19,Q9BQ67,70,Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens GN=GRWD1 PE=1 SV=1,GRWD1,49.4,26257,4.92
PRPF40A,957,855,32,32,32,O75400,32,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A PE=1 SV=2,PRPF40A,108.7,26241,7.56
FXR2,673,851,27,27,24,P51116,55,Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens GN=FXR2 PE=1 SV=2,FXR2,74.2,25827,6.23
GNB4,340,974,13,13,7,Q9HAV0,59,Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens GN=GNB4 PE=1 SV=3,GNB4,37.5,25825,6.0
LDLR,860,845,28,28,28,P01130,43,Low-density lipoprotein receptor OS=Homo sapiens GN=LDLR PE=1 SV=1,LDLR,95.3,25791,5.05
RPL10A,217,1010,9,9,9,P62906,41,60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2,RPL10A,24.8,25424,9.94
VIM,466,788,27,27,25,P08670,59,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,VIM,53.6,25320,5.12
CAPZA2,286,799,16,16,11,P47755,74,F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=1 SV=3,CAPZA2,32.9,25311,5.85
DDX24,859,895,31,31,30,Q9GZR7,53,ATP-dependent RNA helicase DDX24 OS=Homo sapiens GN=DDX24 PE=1 SV=1,DDX24,96.3,25286,9.06
STOM,288,768,12,12,12,P27105,54,Erythrocyte band 7 integral membrane protein OS=Homo sapiens GN=STOM PE=1 SV=3,STOM,31.7,25034,7.88
TCF20,1960,1047,51,51,50,Q9UGU0,39,Transcription factor 20 OS=Homo sapiens GN=TCF20 PE=1 SV=3,TCF20,211.6,24942,9.04
RPS4X,263,933,19,19,19,P62701,59,"40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2",RPS4X,29.6,24774,10.15
CHD1,1710,960,49,49,36,O14646,33,Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens GN=CHD1 PE=1 SV=2,CHD1,196.6,24547,7.14
DDX27,796,881,27,27,27,Q96GQ7,40,Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens GN=DDX27 PE=1 SV=2,DDX27,89.8,24492,9.28
MFAP1,439,733,20,20,20,P55081,54,Microfibrillar-associated protein 1 OS=Homo sapiens GN=MFAP1 PE=1 SV=2,MFAP1,51.9,24323,4.98
GNL3,549,818,22,22,21,Q9BVP2,45,Guanine nucleotide-binding protein-like 3 OS=Homo sapiens GN=GNL3 PE=1 SV=2,GNL3,62.0,24321,9.16
CAT,527,696,22,22,22,P04040,54,Catalase OS=Homo sapiens GN=CAT PE=1 SV=3,CAT,59.7,24318,7.39
PWP2,919,717,29,29,29,Q15269,40,Periodic tryptophan protein 2 homolog OS=Homo sapiens GN=PWP2 PE=1 SV=2,PWP2,102.4,24009,6.15
KDM2B,1336,885,37,37,36,Q8NHM5,36,Lysine-specific demethylase 2B OS=Homo sapiens GN=KDM2B PE=1 SV=1,KDM2B,152.5,23815,8.56
RPL30,115,648,9,9,8,P62888,77,60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2,RPL30,12.8,23770,9.63
PRRC2C,2896,1034,46,46,44,Q9Y520,24,Protein PRRC2C OS=Homo sapiens GN=PRRC2C PE=1 SV=4,PRRC2C,316.7,23671,9.13
SCRIB,1630,852,36,36,36,Q14160,33,Protein scribble homolog OS=Homo sapiens GN=SCRIB PE=1 SV=4,SCRIB,174.8,23663,5.07
PHF3,2039,969,48,48,47,Q92576,33,PHD finger protein 3 OS=Homo sapiens GN=PHF3 PE=1 SV=3,PHF3,229.3,23416,6.96
USP6NL,828,860,28,28,28,Q92738,45,USP6 N-terminal-like protein OS=Homo sapiens GN=USP6NL PE=1 SV=3,USP6NL,94.0,23255,9.07
KAT7,611,649,26,26,25,O95251,52,Histone acetyltransferase KAT7 OS=Homo sapiens GN=KAT7 PE=1 SV=1,KAT7,70.6,23178,8.85
ALB,609,680,7,7,2,P02768-1,10,SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor,ALB,69.3,23093,6.28
CIZ1,898,855,29,29,29,Q9ULV3,50,Cip1-interacting zinc finger protein OS=Homo sapiens GN=CIZ1 PE=1 SV=2,CIZ1,100.0,23053,6.11
PABPC4,660,877,23,23,16,Q13310-3,44,Isoform 3 of Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4,PABPC4,72.3,22847,9.35
CHD7,2997,1000,52,52,41,Q9P2D1,22,Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens GN=CHD7 PE=1 SV=3,CHD7,335.7,22679,6.34
RPL18,188,560,6,6,6,Q07020,35,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2,RPL18,21.6,22628,11.72
CALM1,149,655,8,8,6,P62158,72,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1,16.8,22473,4.22
ARHGAP11A,1023,731,26,26,26,Q6P4F7,36,Rho GTPase-activating protein 11A OS=Homo sapiens GN=ARHGAP11A PE=1 SV=2,ARHGAP11A,113.8,22471,9.07
TRA2B,288,721,12,12,8,P62995,35,Transformer-2 protein homolog beta OS=Homo sapiens GN=TRA2B PE=1 SV=1,TRA2B,33.6,22353,11.25
RPL9,192,810,10,10,10,P32969,68,60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1,RPL9,21.9,22343,9.95
DSG2,1118,844,29,29,29,Q14126,41,Desmoglein-2 OS=Homo sapiens GN=DSG2 PE=1 SV=2,DSG2,122.2,22294,5.24
AP2B1,937,858,34,34,34,P63010,54,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1,AP2B1,104.5,22174,5.38
SAMD1,538,800,18,18,18,Q6SPF0,46,Atherin OS=Homo sapiens GN=SAMD1 PE=1 SV=1,SAMD1,56.0,22010,7.58
NCOR1,2440,796,46,46,41,O75376,26,Nuclear receptor corepressor 1 OS=Homo sapiens GN=NCOR1 PE=1 SV=2,NCOR1,270.0,22008,7.11
RPS18,152,693,13,13,13,P62269,61,40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3,RPS18,17.7,21945,10.99
CCDC86,360,910,19,19,19,Q9H6F5,56,Coiled-coil domain-containing protein 86 OS=Homo sapiens GN=CCDC86 PE=1 SV=1,CCDC86,40.2,21870,10.33
CHD2,1828,1022,43,43,30,O14647,26,Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens GN=CHD2 PE=1 SV=2,CHD2,211.2,21806,8.1
PPP1R9A,1296,857,35,35,34,Q9ULJ8-5,41,Isoform 5 of Neurabin-1 OS=Homo sapiens GN=PPP1R9A,PPP1R9A,145.1,21738,5.41
NOC2L,749,864,22,22,22,Q9Y3T9,33,Nucleolar complex protein 2 homolog OS=Homo sapiens GN=NOC2L PE=1 SV=4,NOC2L,84.9,21488,5.62
TEX10,929,941,28,28,28,Q9NXF1,36,Testis-expressed sequence 10 protein OS=Homo sapiens GN=TEX10 PE=1 SV=2,TEX10,105.6,21466,9.36
PPP1R12B,982,779,26,26,26,O60237,37,Protein phosphatase 1 regulatory subunit 12B OS=Homo sapiens GN=PPP1R12B PE=1 SV=2,PPP1R12B,110.3,21450,5.67
UTP18,556,656,21,21,21,Q9Y5J1,57,U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens GN=UTP18 PE=1 SV=3,UTP18,62.0,21388,8.76
YBX1,324,580,9,9,6,P67809,46,Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3,YBX1,35.9,21383,9.88
TBL1XR1,514,627,18,18,11,Q9BZK7,51,F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens GN=TBL1XR1 PE=1 SV=1,TBL1XR1,55.6,21367,5.55
ZNF148,794,714,27,27,27,Q9UQR1,49,Zinc finger protein 148 OS=Homo sapiens GN=ZNF148 PE=1 SV=2,ZNF148,88.9,21144,6.48
DAB2,770,678,19,19,19,P98082,34,Disabled homolog 2 OS=Homo sapiens GN=DAB2 PE=1 SV=3,DAB2,82.4,21037,5.53
NOL6,1146,716,25,25,25,Q9H6R4,30,Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=2,NOL6,127.5,20989,7.64
C1QBP,282,459,6,6,6,Q07021,40,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1",C1QBP,31.3,20978,4.84
YES1,543,812,18,18,11,P07947,42,Tyrosine-protein kinase Yes OS=Homo sapiens GN=YES1 PE=1 SV=3,YES1,60.8,20876,6.74
DDX52,599,677,20,20,19,Q9Y2R4,47,Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens GN=DDX52 PE=1 SV=3,DDX52,67.5,20622,9.67
RPL10,214,677,12,12,12,P27635,46,60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=4,RPL10,24.6,20571,10.08
SRSF7,238,887,10,10,9,Q16629,35,Serine/arginine-rich splicing factor 7 OS=Homo sapiens GN=SRSF7 PE=1 SV=1,SRSF7,27.4,20319,11.82
COBL,1261,760,32,32,32,O75128,36,Protein cordon-bleu OS=Homo sapiens GN=COBL PE=1 SV=2,COBL,135.5,20298,7.75
PEX14,377,760,17,17,17,O75381,73,Peroxisomal membrane protein PEX14 OS=Homo sapiens GN=PEX14 PE=1 SV=1,PEX14,41.2,20275,4.94
MSH6,1360,861,43,43,42,P52701,41,DNA mismatch repair protein Msh6 OS=Homo sapiens GN=MSH6 PE=1 SV=2,MSH6,152.7,20272,6.9
RIF1,2472,786,52,52,52,Q5UIP0,30,Telomere-associated protein RIF1 OS=Homo sapiens GN=RIF1 PE=1 SV=2,RIF1,274.3,20201,5.52
CTTN,550,634,20,20,20,Q14247,40,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2,CTTN,61.5,20157,5.4
