Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,unmodH3_unmodH5_200bp_scr_repl1,unmodH3_unmodH5_200bp_scr_repl2,unmodH3_unmodH5_200bp_scr_repl3,unmodH3_unmodH6_200bp_SV40prom_repl1,unmodH3_unmodH6_200bp_SV40prom_repl2,unmodH3_unmodH6_200bp_SV40prom_repl3
MYL12B,172,551,13,13,6,O14950,66,Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2,MYL12B,19.8,17098,1124649531.33333,1409818080.41667,762552759.333333,707845537.666667,853613823.875,788622301.083333
NOP56,594,527,28,28,28,O00567,51,Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,NOP56,66.0,16915,486380244.666667,391333210.666667,279294725.333333,242468805.333333,471890392.666667,253342329.333333
HNRNPK,463,488,24,24,24,P61978,58,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,HNRNPK,50.9,16784,364318557.333333,530537712.0,294497202.666667,337422728.0,399995269.333333,383422752.0
MCCC2,563,458,25,25,25,Q9HCC0,50,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=1",MCCC2,61.3,16597,235702106.666667,296203470.666667,198902865.333333,195136050.666667,203487862.666667,193982800.0
ATAD5,1844,521,68,68,68,Q96QE3,44,ATPase family AAA domain-containing protein 5 OS=Homo sapiens OX=9606 GN=ATAD5 PE=1 SV=4,ATAD5,207.4,16466,118472585.833333,81075732.6666667,97010821.3333333,31448815.3333333,47907093.6666667,70918836.0833333
XRCC1,633,601,29,29,29,P18887,53,DNA repair protein XRCC1 OS=Homo sapiens OX=9606 GN=XRCC1 PE=1 SV=3,XRCC1,69.5,16446,563491807.333333,656628187.0,476368223.0,646263032.0,813964283.333333,767238696.0
HSPA1A,641,467,31,31,28,P0DMV8,59,Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1,HSPA1A,70.0,16331,144541970.0,167697025.333333,117171408.0,111289507.333333,120919615.333333,125268669.5
HNRNPA3,378,482,18,18,15,P51991,45,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,HNRNPA3,39.6,16285,342131392.0,482484746.666667,264215392.0,154574717.333333,192762621.333333,247658384.0
BPTF,3046,618,91,91,91,Q12830,35,Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3,BPTF,338.1,16117,3407961.83333333,5127763.66666667,2892122.0,2545167.58333333,3969628.83333333,4712563.83333333
TJP1,1748,619,65,65,63,Q07157,50,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,TJP1,195.3,16068,196737750.0,198835584.0,157289374.666667,87305077.3333333,143541726.0,156884099.333333
PRPF40A,957,489,33,33,33,O75400,31,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2,PRPF40A,108.7,15909,211223871.166667,219737638.916667,152645269.333333,109529424.0,92012244.25,128303320.833333
TRIP12,1992,515,49,49,49,Q14669,30,E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1,TRIP12,220.3,15868,133775101.333333,182950068.0,71591662.6666667,125719857.333333,117598990.666667,76841078.0
KRT17,432,538,32,32,15,Q04695,65,"Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",KRT17,48.1,15668,96701265.0,108336228.833333,87759175.6666667,65165331.0833333,70721159.6666667,79764396.6666667
SCAF11,1463,522,38,38,38,Q99590,36,Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=2,SCAF11,164.6,15574,95503118.6666667,103542780.0,84297271.3333333,68671792.0,83900342.6666667,54840648.6666667
KIF23,960,498,44,44,44,Q02241,48,Kinesin-like protein KIF23 OS=Homo sapiens OX=9606 GN=KIF23 PE=1 SV=3,KIF23,110.0,15454,69109581.0,86410812.0,66027215.1666667,58909451.3333333,60359248.3333333,60584066.1666667
DDB2,427,612,23,23,22,Q92466,60,DNA damage-binding protein 2 OS=Homo sapiens OX=9606 GN=DDB2 PE=1 SV=1,DDB2,47.8,15306,1032527341.33333,1412122638.66667,967633061.333333,1034804746.66667,846198058.666667,1026030568.0
AP2B1,937,581,42,42,42,P63010,49,AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1,AP2B1,104.5,15300,87669450.6666667,92736322.6666667,73455482.6666667,57693870.6666667,66799988.0,95421898.6666667
PRPF8,2335,649,71,71,71,Q6P2Q9,34,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,PRPF8,273.4,15281,209929624.666667,233480009.333333,150243638.0,139338691.333333,150645322.333333,123485811.333333
ABLIM1,778,443,27,27,27,O14639,39,Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3,ABLIM1,87.6,15209,210272944.0,300957897.333333,207647983.333333,139600548.666667,151757956.0,187465236.0
PCCA,728,521,37,37,37,P05165,54,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCA PE=1 SV=4",PCCA,80.0,15107,139226373.333333,211044365.333333,106784838.0,138704800.0,92087517.3333333,121514707.166667
DHX15,795,539,38,38,37,O43143,51,ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2,DHX15,90.9,15013,144256301.583333,183896613.333333,138724992.0,88867098.6666667,95743322.6666667,61705385.3333333
RBM25,843,537,32,32,32,P49756,34,RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3,RBM25,100.1,14958,751268162.0,979967460.0,750017802.666667,634441414.0,659370652.333333,620262171.0
SF3B1,1304,602,55,55,55,O75533,53,Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,SF3B1,145.7,14847,119526210.666667,129991046.666667,84880957.3333333,54506174.3333333,49960079.3333333,62517862.1666667
MCCC1,725,493,28,28,28,Q96RQ3,55,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=3",MCCC1,80.4,14630,163162624.0,179671648.0,144247448.0,106561944.0,109984117.333333,152083434.666667
GTPBP4,634,492,36,36,36,Q9BZE4,59,GTP-binding protein 4 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3,GTPBP4,73.9,14611,140305756.666667,185869169.333333,120535760.666667,119576036.0,105415736.0,110018938.666667
MATR3,847,598,39,39,39,P43243,49,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2,MATR3,94.6,14487,187883241.333333,220313106.666667,122826060.0,106133536.666667,92406538.0,123027180.0
CHD2,1828,581,66,66,53,O14647,42,Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens OX=9606 GN=CHD2 PE=1 SV=2,CHD2,211.2,14479,612841777.333333,904759273.666667,519678154.666667,486385594.666667,512632992.0,480037384.666667
BCORL1,1785,600,57,57,56,Q5H9F3,40,BCL-6 corepressor-like protein 1 OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=2,BCORL1,190.4,14432,48636930.6666667,45901758.0,42778040.6666667,25091750.375,27417491.0,46833051.3333333
TBL3,808,468,35,35,35,Q12788,58,Transducin beta-like protein 3 OS=Homo sapiens OX=9606 GN=TBL3 PE=1 SV=2,TBL3,89.0,14419,201399081.166667,83913363.6666667,37198435.9166667,101899346.333333,179522557.166667,62242295.75
RBM28,759,441,30,30,30,Q9NW13,36,RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3,RBM28,85.7,14322,198024840.0,256070197.958333,259479037.333333,182448315.854167,181231267.166667,168216557.333333
PNN,717,472,34,34,34,Q9H307,44,Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5,PNN,81.6,14287,153519765.666667,187710777.333333,147505327.0,45132556.6666667,54670103.3333333,64559613.1666667
CAPZA1,286,405,15,15,10,P52907,73,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,CAPZA1,32.9,14270,269630735.666667,330971162.0,230566380.333333,210314574.166667,198736952.666667,191967883.833333
RUVBL1,456,403,19,19,19,Q9Y265,56,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,RUVBL1,50.2,14179,26468795.8333333,32292811.6666667,23366057.1666667,15303640.3333333,12132269.9166667,21712585.6666667
MYO6,1294,506,56,56,56,Q9UM54,49,Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=4,MYO6,149.6,14109,149021297.333333,223956692.666667,143316952.666667,106554703.0,121165559.666667,138323325.333333
MISP,679,524,34,34,34,Q8IVT2,53,Mitotic interactor and substrate of PLK1 OS=Homo sapiens OX=9606 GN=MISP PE=1 SV=1,MISP,75.3,14085,257750252.0,307935277.333333,237694926.666667,107196692.0,138061045.333333,239819582.666667
ANXA2,339,445,25,25,25,P07355,67,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,ANXA2,38.6,13994,184660956.666667,201816994.666667,178091820.333333,161279850.166667,141451011.666667,155104103.0
ILF3,894,453,31,31,26,Q12906,50,Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,ILF3,95.3,13924,98264319.0,213414422.0,79220131.0,93319090.0,116087342.333333,39998977.0
PPP1CA,330,448,17,17,4,P62136,61,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1,PPP1CA,37.5,13842,71477303.3333333,85762742.6666667,54508188.6666667,60209880.0,51083675.28125,66133569.3333333
CAPZB,277,463,14,14,14,P47756,46,F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4,CAPZB,31.3,13733,305860305.333333,401943982.666667,242946429.333333,267010210.666667,262338106.666667,248681074.666667
AP2A1,977,525,45,45,30,O95782,56,AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,AP2A1,107.5,13708,141450019.333333,150817534.0,91514516.0,81442388.6666667,83149906.6666667,126862047.333333
WDR3,943,487,41,41,41,Q9UNX4,56,WD repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=WDR3 PE=1 SV=1,WDR3,106.0,13525,68980972.0,83025712.0,59022179.3333333,52295053.3333333,51873462.0,59675117.3333333
TAF6,677,434,36,36,36,P49848,69,Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1,TAF6,72.6,13522,906337709.333333,1230803930.66667,561118101.333333,777132533.333333,628461144.0,417871898.666667
RBMX,391,539,25,25,9,P38159,53,"RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3",RBMX,42.3,13454,263576896.0,280040890.666667,228892030.666667,139153778.666667,138142669.333333,201152565.333333
TUBB,444,403,24,24,5,P07437,73,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,TUBB,49.6,13427,111287789.833333,103577794.0,86417861.3333333,79428146.8333333,56826333.5833333,77638936.5
SMARCC2,1214,453,46,46,38,Q8TAQ2,38,SWI/SNF complex subunit SMARCC2 OS=Homo sapiens OX=9606 GN=SMARCC2 PE=1 SV=1,SMARCC2,132.8,13366,3654364.16666667,995095.083333333,3351873.0,,596947.125,3008703.66666667
HSPA9,679,404,32,32,31,P38646,50,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",HSPA9,73.6,13350,55507312.0,128573904.0,52324588.0,58972679.3333333,90984742.6666667,64836040.3333333
DDX54,881,474,39,39,38,Q8TDD1,52,ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2,DDX54,98.5,13186,189240934.666667,255357536.166667,160520243.333333,175698550.0,183826570.666667,158270567.333333
HRNR,2850,401,23,23,23,Q86YZ3,25,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,HRNR,282.2,13151,156051774.625,94572485.0,122309385.75,87820591.125,87187938.7916667,78259962.0
PCCB,539,391,24,24,24,P05166,59,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCB PE=1 SV=3",PCCB,58.2,13076,144220741.333333,175247658.666667,137132672.0,99213005.3333333,115370805.333333,136256568.0
SF3B3,1217,427,38,38,38,Q15393,37,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,SF3B3,135.5,13019,173964688.0,195595986.666667,221505786.666667,86552397.3333333,97194753.3333333,70725853.3333333
HSPA5,654,391,25,25,23,P11021,43,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,HSPA5,72.3,12822,298174356.0,219288412.0,307901772.0,57777020.6666667,148609826.666667,328517912.0
PHF8,1060,415,37,37,33,Q9UPP1,43,Histone lysine demethylase PHF8 OS=Homo sapiens OX=9606 GN=PHF8 PE=1 SV=3,PHF8,117.8,12750,13287602.3333333,17030658.3333333,13223175.3333333,12916160.5625,13763605.5,11854194.1666667
FBL,321,396,19,19,19,P22087,52,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2,FBL,33.8,12747,656698529.166667,866302412.666667,584115942.666667,512778533.333333,532469050.166667,619092939.666667
PPP1CC,323,405,15,15,3,P36873,54,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1,PPP1CC,37.0,12604,139267402.666667,171750002.666667,103393224.0,114076889.333333,97107789.3333333,91774404.0
PPP1CB,327,410,18,18,7,P62140,67,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3,PPP1CB,37.2,12579,183524833.666667,252528338.333333,148312433.416667,187199674.833333,129865362.666667,136838976.75
SMARCA4,1647,394,50,50,28,P51532,31,Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2,SMARCA4,184.5,12509,,,1108658.625,671135.125,,1635205.0
SYNCRIP,623,436,24,24,16,O60506,50,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2,SYNCRIP,69.6,12446,80442285.6666667,78926123.3333333,54743259.4166667,40400625.125,41832151.0833333,41234380.0
DDX18,670,408,28,28,28,Q9NVP1,45,ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,DDX18,75.4,12414,214821972.0,253887761.333333,182984888.0,161378914.666667,155994716.0,152544906.0
TAF1,1872,489,70,70,70,P21675,46,Transcription initiation factor TFIID subunit 1 OS=Homo sapiens OX=9606 GN=TAF1 PE=1 SV=2,TAF1,212.5,12394,54186050.0,69027370.6666667,51591985.3333333,40000017.3333333,45828763.3333333,42919280.6666667
KRT8,483,428,34,34,24,P05787,59,"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",KRT8,53.7,12384,60585556.0,81637880.0,54653134.6666667,51366604.0,47743501.3333333,51361848.0
NOL8,1167,491,55,55,55,Q76FK4,51,Nucleolar protein 8 OS=Homo sapiens OX=9606 GN=NOL8 PE=1 SV=1,NOL8,131.5,12306,111729367.333333,126649736.0,150724980.666667,50675028.0,78329119.3333333,141206776.666667
DKC1,514,486,22,22,22,O60832,49,H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3,DKC1,57.6,12300,272233406.666667,372111104.0,279026172.0,264680276.0,271238705.333333,251964370.666667
LYAR,379,375,16,16,16,Q9NX58,43,Cell growth-regulating nucleolar protein OS=Homo sapiens OX=9606 GN=LYAR PE=1 SV=3,LYAR,43.6,12239,283459349.333333,414943973.75,312139981.0,214374267.0,276187912.5,246076520.333333
TMOD3,352,466,19,19,19,Q9NYL9,61,Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1,TMOD3,39.6,12195,208946122.666667,299287541.333333,166613246.666667,180911402.666667,154323845.333333,180276954.666667
TAF5,800,359,35,35,34,Q15542,53,Transcription initiation factor TFIID subunit 5 OS=Homo sapiens OX=9606 GN=TAF5 PE=1 SV=3,TAF5,86.8,12143,101820544.0,64156896.0,119940746.666667,10141263.3333333,29555975.4166667,122348803.541667
TAF4,1085,323,31,31,30,O00268,41,Transcription initiation factor TFIID subunit 4 OS=Homo sapiens OX=9606 GN=TAF4 PE=1 SV=2,TAF4,110.0,12137,,,,,,
LRRFIP2,721,373,20,20,19,Q9Y608,28,Leucine-rich repeat flightless-interacting protein 2 OS=Homo sapiens OX=9606 GN=LRRFIP2 PE=1 SV=1,LRRFIP2,82.1,12093,176142698.666667,232501666.0,133301850.666667,113552224.0,164216733.333333,148980346.666667
CD55,381,490,18,18,18,P08174,48,Complement decay-accelerating factor OS=Homo sapiens OX=9606 GN=CD55 PE=1 SV=4,CD55,41.4,12068,538288176.0,708992821.333333,513076881.0,499652144.666667,488143765.333333,452356704.0
TUBA1C,449,376,22,22,2,Q9BQE3,61,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1,TUBA1C,49.9,12034,6746869.0,22598822.5,7997666.25,3339568.25,2309888.9375,887366.75
RUVBL2,463,347,29,29,29,Q9Y230,58,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,RUVBL2,51.1,12033,29111544.6666667,31357570.6666667,23815338.6666667,16980267.3333333,17383846.3333333,21372564.6666667
USP36,1123,458,43,43,43,Q9P275,45,Ubiquitin carboxyl-terminal hydrolase 36 OS=Homo sapiens OX=9606 GN=USP36 PE=1 SV=4,USP36,122.8,12031,60159648.0,84572616.0,67262997.3333333,55456150.6666667,44919988.0,52400381.3333333
TUBB4B,445,373,24,24,2,P68371,73,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,TUBB4B,49.8,12029,31658028.0,43892244.0,36134454.5,33693918.0,24273710.0,23581648.0
SPECC1,1068,441,41,41,41,Q5M775,45,Cytospin-B OS=Homo sapiens OX=9606 GN=SPECC1 PE=1 SV=1,SPECC1,118.5,11880,2705537381.33333,2090247244.0,2567980748.0,1817754558.16667,1983833529.33333,2263126077.33333
RPL5,297,387,15,15,15,P46777,48,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3,RPL5,34.3,11853,304325118.666667,396862779.625,285921865.666667,312597444.666667,252387852.0,227371862.333333
DSP,2871,526,85,85,85,P15924,33,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,DSP,331.6,11844,202298570.666667,210095944.666667,194219251.333333,114961233.666667,138831221.333333,154260797.166667
RPL3,403,443,23,23,23,P39023,59,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,RPL3,46.1,11750,418152053.333333,538826682.666667,390507465.333333,382191744.0,314101153.333333,297497468.0
ARID2,1835,438,49,49,49,Q68CP9,40,AT-rich interactive domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ARID2 PE=1 SV=2,ARID2,197.3,11743,,,609038.916666667,1000672.45833333,736135.25,
MSH3,1137,475,55,55,54,P20585,54,DNA mismatch repair protein Msh3 OS=Homo sapiens OX=9606 GN=MSH3 PE=1 SV=4,MSH3,127.3,11731,131171813.333333,141886776.0,108268005.333333,96241309.3333333,115515616.0,122727248.0
HNRNPH1,449,386,19,19,8,P31943,55,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,HNRNPH1,49.2,11692,107209560.0,154958684.166667,55229753.3333333,79481466.0,69497163.1666667,44847672.6666667
DDX46,1031,438,42,42,42,Q7L014,45,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2,DDX46,117.3,11642,92725299.3333333,109619902.0,71341459.0,51561235.6666667,62590294.0,54511933.0
U2AF2,475,407,12,12,12,P26368,44,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4,U2AF2,53.5,11532,527922378.666667,521216297.333333,334978563.333333,290259338.0,264823830.666667,301472474.0
URB2,1524,397,38,38,38,Q14146,28,Unhealthy ribosome biogenesis protein 2 homolog OS=Homo sapiens OX=9606 GN=URB2 PE=1 SV=2,URB2,170.4,11490,42861440.6666667,120384326.0,31818092.6666667,117874984.0,93697142.6666667,25738260.0
DDX3X,662,340,28,28,27,O00571,46,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,DDX3X,73.2,11463,53737800.0,67161180.6666667,49221300.4166667,38715898.6666667,30895516.0,41751043.0
GNAI2,355,360,18,18,12,P04899,56,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens OX=9606 GN=GNAI2 PE=1 SV=3,GNAI2,40.4,11432,119186006.833333,140024695.333333,102908549.5,104051514.0,85104731.5,100354926.166667
RPLP0,317,417,18,18,18,P05388,62,60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,RPLP0,34.3,11354,458958069.333333,476527978.666667,448452346.666667,346995453.333333,390316149.333333,407586794.666667
MYL9,172,419,9,9,2,P24844,51,Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4,MYL9,19.8,11233,10816332.0,15019121.0,7476450.75,6896604.5,6601187.75,7859107.25
RBM15,977,428,41,41,40,Q96T37,45,RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=2,RBM15,107.1,11230,170873735.5,230765865.75,152541486.5,151838816.0,170899614.75,161570734.833333
RBM14,669,386,23,23,23,Q96PK6,39,RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,RBM14,69.4,11176,889258210.333333,1172446431.66667,830093761.0,731769941.666667,659106927.666667,643388206.5
TFAP2A,437,321,19,19,14,P05549,47,Transcription factor AP-2-alpha OS=Homo sapiens OX=9606 GN=TFAP2A PE=1 SV=1,TFAP2A,48.0,11157,260490677.333333,309622645.333333,192023666.666667,220721904.0,208327296.0,273573162.666667
SMARCA2,1590,373,47,47,25,P51531,31,Probable global transcription activator SNF2L2 OS=Homo sapiens OX=9606 GN=SMARCA2 PE=1 SV=2,SMARCA2,181.2,11002,,,,580259.583333333,400784.208333333,
SAMD1,538,376,20,20,20,Q6SPF0,49,Sterile alpha motif domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAMD1 PE=1 SV=1,SAMD1,56.0,10928,196500402.666667,228677596.0,155341676.666667,121606136.0,115342130.0,141595656.666667
RSL1D1,490,394,19,19,19,O76021,37,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=3,RSL1D1,54.9,10904,337619146.666667,441044906.666667,337293920.0,276747722.666667,344684538.666667,321061056.0
HNRNPD,355,355,16,16,14,Q14103,39,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1,HNRNPD,38.4,10841,1901739904.0,2604946602.66667,1419291434.66667,543731648.0,531910704.0,555418005.333333
WDR36,951,374,35,35,35,Q8NI36,44,WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1,WDR36,105.3,10803,74014848.0,90488176.0,66096774.6666667,65514100.0,86898432.0,55009301.3333333
RPL7A,266,351,15,15,15,P62424,46,60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2,RPL7A,30.0,10770,643677034.666667,624711440.0,536999592.0,474361357.333333,477664466.666667,455345634.666667
MYO1E,1108,408,41,41,41,Q12965,40,Unconventional myosin-Ie OS=Homo sapiens OX=9606 GN=MYO1E PE=1 SV=2,MYO1E,127.0,10683,92809517.3333333,108007059.666667,74217093.3333333,69353315.3333333,64856304.0,88736090.6666667
GLYR1,553,304,20,20,20,Q49A26,46,Putative oxidoreductase GLYR1 OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=4,GLYR1,60.5,10622,96668092.0,143059883.333333,75331798.5,105673589.666667,53428225.3333333,54695687.6666667
HP1BP3,553,388,23,23,23,Q5SSJ5,49,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1,HP1BP3,61.2,10596,213647312.0,295384304.0,218090648.0,239120120.0,288470253.333333,271075162.666667
SMARCC1,1105,380,43,43,35,Q92922,42,SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3,SMARCC1,122.8,10552,136484874.666667,124104178.666667,106697431.166667,94855882.6666667,104168608.125,78669666.6666667
PUF60,559,364,21,21,21,Q9UHX1,49,Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,PUF60,59.8,10517,211068324.0,213435105.333333,124439249.666667,102065316.666667,83770368.0,107712270.583333
